naics_code,kind_of_business,2014,2013,2012,2011,2010,2009,2008,2007,2006
4445,Retail trade,980110,941766,916307,882783,854470,831722,875100,876257,832765
441,   Motor vehicle and parts ,141144,135356,130153,121269,114030,110254,127127,136859,131066
4411,   Automobile dealers ,100766,95858,92263,83830,78663,75131,88647,98124,94112
4413,   Auto parts and tire stores ,28320,28470,27870,27949,25826,25025,25925,25467,24353
442,   Furniture stores ,37453,35884,34721,33569,33383,33820,39328,43393,43313
443,   Electronics and appliance stores ,25160,25658,26027,25879,23905,24226,27010,27200,27148
444,   Building mat and garden equip dealers ,82968,78218,74261,72857,71803,73562,83888,86317,82488
4441,   Building mat and supplies dealers ,72212,68222,64850,63903,62909,65020,74905,77205,73758
445,   Food and beverage stores ,156104,148653,147801,141868,138520,135737,134788,129188,124112
4451,   Grocery stores ,140187,133708,133425,128008,124888,122399,121597,116484,112008
4453,"   Beer, wine and liquor stores ",9335,8785,8357,8180,8020,7768,7602,7217,6809
446,   Health and personal care stores ,78197,74865,72689,69926,67573,65225,64580,61482,56589
4461,   Health and personal care stores ,78197,74865,72689,69926,67573,65225,64580,61482,56589
447,   Gasoline stations ,51154,49963,48418,48780,46196,43976,46197,43814,41251
448,   Clothing and clothing access stores ,93772,92947,90188,88250,83192,79916,82962,83279,77757
4481,   Clothing stores ,67694,67335,65589,64604,61231,58439,60034,61329,56969
44811,   Mens clothing stores ,4015,3804,3474,3245,3057,3336,3845,4031,4097
44812,   Womens clothing stores ,18617,18833,18546,17830,16958,16391,16643,17457,16048
44814,   Family clothing stores ,31270,30740,29823,30567,29515,28213,28637,28361,26489
4482,   Shoe stores ,13275,13090,12400,11771,10898,10376,10868,10154,9549
451,   Sporting goods hobby book and music stores ,29459,28735,27424,27073,27705,27076,28781,28821,27370
452,   General merchandise stores ,134422,131047,132672,129100,129010,126845,125909,123239,118948
4521,   Department stores ,45601,46519,48579,49276,49638,50478,53340,55412,56093
452111,      Department stores except discount dept stores ,19243,20102,20683,21155,20985,21473,24175,26055,27363
452112,      Discount dept stores ,26358,26417,27896,28121,28653,29005,29165,29357,28730
4529,   Other general merchandise stores ,88821,84528,84093,79824,79372,76367,72569,67827,62855
45291,   Warehouse clubs and supercenters ,71541,67961,68433,64954,65338,63174,59927,55488,50676
45299,   All other gen merchandise stores ,17280,16567,15660,14870,14034,13193,12642,12339,12179
453,   Miscellaneous store retailers ,42078,40153,38256,36738,36241,34638,37377,37098,35314
454,   Nonstore retailers ,108199,100287,93697,87474,82912,76447,77153,75567,67409
4541,   Electronic shopping and mailorder houses ,88005,80481,74505,67964,62759,56586,56526,54547,47531
72,Accommodation and food services total ,508208,480205,461119,442929,423449,412394,428372,420807,405299
721,   Accommodation ,151751,144550,138357,132147,126587,126863,139330,139279,133593
722,   Food services and drinking places ,356457,335655,322762,310782,296862,285531,289042,281528,271706
